PID,CT,A,W,EWW,MT,MissedClicks
1,PointCursor,5,0.75,1.5,0,0
1,PointCursor,3,0.25,1.5,1.544674,0
1,PointCursor,3,0.75,2,0.8558818,0
1,PointCursor,5,0.75,2,1.513166,0
1,PointCursor,5,0.25,2,1.129963,0
