PID,CT,A,W,EWW,MT,MissedClicks
1,PointCursor,3,0.75,2,0,0
1,PointCursor,5,0.75,2,1.097722,0
1,PointCursor,3,0.25,2,2.133724,0
1,PointCursor,5,0.25,1.5,0.9723656,0
