PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,3,0.75,2,0,0
1,BubbleCursor,3,0.25,2,1.900977,0
1,BubbleCursor,5,0.25,1.5,1.703034,1
1,BubbleCursor,3,0.25,1.5,1.158458,0
1,BubbleCursor,5,0.25,2,2.475002,2
1,BubbleCursor,5,0.75,2,1.026556,0
1,BubbleCursor,5,0.75,1.5,1.441969,1
1,BubbleCursor,3,0.75,1.5,1.423391,0
